type	chapter_no	service_no	description_de	description_fr	description_it	valid_from	valid_until
srv	3.1	3041	Krafttraining Gruppe 1, pro 1 Monat	Musculation, groupe 1, par mois	Allenamento della forza, gruppo 1, 1 mese	2027-01-01	9998-12-31
srv	3.1	3042	Krafttraining Gruppe 1, online live, pro 1 Monat	Musculation, groupe 1, en ligne et en direct, par mois	Allenamento della forza, gruppo 1, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3043	Krafttraining Gruppe 1, Personal Training	Musculation, groupe 1, entraînement personnalisé	Allenamento della forza, gruppo 1, personal training	2027-01-01	9998-12-31
srv	3.1	3044	Krafttraining Gruppe 1, Personal Training, online live	Musculation, groupe 1, entraînement personnalisé, en ligne et en direct	Allenamento della forza, gruppo 1, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3045	Krafttraining Gruppe 2, pro 1 Lektion	Musculation, groupe 2, par leçon	Allenamento della forza, gruppo 2, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3046	Krafttraining Gruppe 2, online live, pro 1 Lektion	Musculation, groupe 2, en ligne et en direct, par leçon	Allenamento della forza, gruppo 2, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3047	Krafttraining Gruppe 2, pro 1 Monat	Musculation, groupe 2, par mois	Allenamento della forza, gruppo 2, 1 mese	2027-01-01	9998-12-31
srv	3.1	3048	Krafttraining Gruppe 2, online live, pro 1 Monat	Musculation, groupe 2, en ligne et en direct, par mois	Allenamento della forza, gruppo 2, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3049	Krafttraining Gruppe 2, Personal Training	Musculation, groupe 2, entraînement personnalisé	Allenamento della forza, gruppo 2, personal training	2027-01-01	9998-12-31
srv	3.1	3050	Krafttraining Gruppe 2, Personal Training, online live	Musculation, groupe 2, entraînement personnalisé, en ligne et en direct	Allenamento della forza, gruppo 2, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3051	Ausdauertraining, pro 1 Lektion	Endurance, par leçon	Allenamento della resistenza, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3052	Ausdauertraining, online live, pro 1 Lektion	Endurance, en ligne et en direct, par leçon	Allenamento della resistenza, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3053	Ausdauertraining, pro 1 Monat	Endurance, par mois	Allenamento della resistenza, 1 mese	2027-01-01	9998-12-31
srv	3.1	3054	Ausdauertraining, online live, pro 1 Monat	Endurance, en ligne en direct, par mois	Allenamento della resistenza, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3055	Ausdauertraining, Personal Training	Endurance, entraînement personnalisé	Allenamento della resistenza, personal training	2027-01-01	9998-12-31
srv	3.1	3056	Ausdauertraining, Personal Training, online live	Endurance, entraînement personnalisé, en ligne et en direct	Allenamento della resistenza, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3057	Bewegung und Koordination Gruppe 1, pro 1 Lektion	Activité physique et coordination, groupe 1, par leçon	Esercizio fisico e coordinazione, gruppo 1, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3058	Bewegung und Koordination Gruppe 1, online live, pro 1 Lektion	Activité physique et coordination, groupe 1, en ligne et en direct, par leçon	Esercizio fisico e coordinazione, gruppo 1, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3059	Bewegung und Koordination Gruppe 1, pro 1 Monat	Activité physique et coordination, groupe 1, par mois	Esercizio fisico e coordinazione, gruppo 1, 1 mese	2027-01-01	9998-12-31
srv	3.1	3060	Bewegung und Koordination Gruppe 1, online live, pro 1 Monat	Activité physique et coordination, groupe 1, en ligne et en direct, par mois	Esercizio fisico e coordinazione, gruppo 1, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3061	Bewegung und Koordination Gruppe 1, Personal Training	Activité physique et coordination, groupe 1, entraînement personnalisé	Esercizio fisico e coordinazione, gruppo 1, personal training	2027-01-01	9998-12-31
srv	3.1	3062	Bewegung und Koordination Gruppe 1, Personal Training, online live	Activité physique et coordination, groupe 1, entraînement personnalisé, en ligne et en direct	Esercizio fisico e coordinazione, gruppo 1, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3063	Bewegung und Koordination Gruppe 2, pro 1 Lektion	Activité physique et coordination, groupe 2, par leçon	Esercizio fisico e coordinazione, gruppo 2, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3064	Bewegung und Koordination Gruppe 2, online live, pro 1 Lektion	Activité physique et coordination, groupe 2, en ligne et en direct, par leçon	Esercizio fisico e coordinazione, gruppo 2, online live, 1 lezione	2027-01-01	9998-12-31
srv	3.1	3065	Bewegung und Koordination Gruppe 2, pro 1 Monat	Activité physique et coordination, groupe 2, par mois	Esercizio fisico e coordinazione, gruppo 2, 1 mese	2027-01-01	9998-12-31
srv	3.1	3066	Bewegung und Koordination Gruppe 2, online live, pro 1 Monat	Activité physique et coordination, groupe 2, en ligne et en direct, par mois	Esercizio fisico e coordinazione, gruppo 2, online live, 1 mese	2027-01-01	9998-12-31
srv	3.1	3067	Bewegung und Koordination Gruppe 2, Personal Training	Activité physique et coordination, groupe 2, entraînement personnalisé	Esercizio fisico e coordinazione, gruppo 2, personal training	2027-01-01	9998-12-31
srv	3.1	3068	Bewegung und Koordination Gruppe 2, Personal Training, online live	Activité physique et coordination, groupe 2, entraînement personnalisé, en ligne et en direct	Esercizio fisico e coordinazione, gruppo 2, personal training, online live	2027-01-01	9998-12-31
srv	3.1	3014	Paartanz, pro 1 Lektion	Danse en couple, par leçon	Ballo di coppia, 1 lezione	2021-01-01	9998-12-31
